File,Extension,SizeMB,Status,Error
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\036406.xls,.xls,0.28,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\036408.xls,.xls,0.77,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\036411.xls,.xls,0.56,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\036412.xls,.xls,0.04,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\036413.xls,.xls,0.04,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\036414.xls,.xls,0.09,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\036416.xls,.xls,0.15,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\036418.xls,.xls,1.4,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\036419.xls,.xls,0.03,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\036421.xls,.xls,0.02,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\036423.xls,.xls,0.48,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\036583.xls,.xls,0.11,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\036621.xls,.xls,0.5,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\036623.xls,.xls,0.6,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\036831.xls,.xls,0.02,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\036845.xls,.xls,0.06,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\036863.xls,.xls,0.21,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\036870.xls,.xls,5.97,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\036872.xls,.xls,0.08,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\036939.xls,.xls,0.03,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037140.xls,.xls,0.04,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037142.xls,.xls,0.03,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037147.xls,.xls,0.03,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037149.xls,.xls,0.06,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037151.xls,.xls,0.03,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037152.xls,.xls,0.56,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037155.xls,.xls,0.2,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037156.xls,.xls,0.05,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037157.xls,.xls,0.04,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037162.xls,.xls,0.04,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037163.xls,.xls,0.04,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037165.xls,.xls,0.13,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037166.xls,.xls,0.05,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037169.xls,.xls,0.1,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037170.xls,.xls,0.08,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037388.xls,.xls,0.05,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037392.xls,.xls,0.3,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037395.xls,.xls,0.17,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037396.xls,.xls,0.03,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037435.xls,.xls,0.05,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037436.xls,.xls,3.25,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037437.xls,.xls,3.35,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037679.xls,.xls,0.09,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037680.xls,.xls,0.27,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037681.xls,.xls,0.02,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037682.xls,.xls,0.04,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037683.xls,.xls,0.03,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037684.xls,.xls,0.04,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037685.xls,.xls,0.02,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037686.xls,.xls,0.02,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037690.xls,.xls,0.24,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037692.xls,.xls,0.03,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037693.xls,.xls,0.03,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037696.xls,.xls,0.32,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037960.xls,.xls,0.04,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037962.xls,.xls,0.02,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037975.xls,.xls,7.09,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037978.xls,.xls,0.38,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037979.xls,.xls,0.04,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037981.xls,.xls,0.82,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037983.xls,.xls,0.37,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037984.xls,.xls,0.03,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037985.xls,.xls,0.02,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037988.xls,.xls,3.62,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\037995.xls,.xls,0.64,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\038032.xls,.xls,0.03,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\038039.xls,.xls,0.03,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\038154.xls,.xls,0.09,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\038183.xls,.xls,0.04,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\038184.xls,.xls,0.04,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\038185.xls,.xls,2.69,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\038280.xls,.xls,0.03,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\038281.xls,.xls,0.04,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\038625.xls,.xls,0.14,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\038630.xls,.xls,0.11,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\038631.xls,.xls,0.09,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\038950.xls,.xls,0.23,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\038951.xls,.xls,0.55,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\038952.xls,.xls,0.08,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\038954.xls,.xls,0.29,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\038955.xls,.xls,0.24,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\038956.xls,.xls,0.03,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\038957.xls,.xls,1.24,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\038958.xls,.xls,9.28,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\038959.xls,.xls,4.61,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\038960.xls,.xls,23.22,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\038962.xls,.xls,9.91,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\Dataset\038965.xls,.xls,0.21,OK,
