File,Extension,SizeMB,Status,Error
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10002-$RTJW2GH.jpg,.jpg,0.02,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10005-$RTKEL6X.jpg,.jpg,0.09,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10008-$RTKFWAU.xls,.xls,0.02,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10011-$RTKGBE3.xls,.xls,0.17,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10014-$RTKYLVW.xls,.xls,0.04,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10017-$RTL2Q80.xls,.xls,0.06,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10020-$RTLA6QV.jpg,.jpg,0.01,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10023-$RTLBOU1.jpg,.jpg,0.02,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10026-$RTLLNHC.xls,.xls,0.17,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10028-$RTLOUN2.xls,.xls,0.3,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10030-$RTLOXJC.xls,.xls,0.23,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10033-$RTLPJBI.jpg,.jpg,0.05,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10036-$RTLU3AX.xls,.xls,0.51,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10039-$RTLV8OV.jpg,.jpg,0.07,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10042-$RTLYXB1.xls,.xls,0.03,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10045-$RTM2MSL.xls,.xls,0.82,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10047-$RTM36SY.jpg,.jpg,0.06,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10050-$RTMPF4A.doc,.doc,0.61,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10053-$RTMRI8P.xls,.xls,0.02,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10056-$RTMZ9CR.jpg,.jpg,0.01,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\1007-$RYDZ69G.xls,.xls,0.08,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10091-$RYLE8OF.jpg,.jpg,0.04,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10094-$RYLSYIY.xls,.xls,0.11,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10097-$RYLWB8R.jpg,.jpg,0.0,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\101-$R0HEA2U.xls,.xls,0.12,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\1010-$RYE3PNK.xls,.xls,0.02,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10100-$RYLZRMG.xls,.xls,0.02,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10103-$RYLZWGP.xls,.xls,2.99,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10106-$RYM00IM.doc,.doc,4.85,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10109-$RYM1EE0.jpg,.jpg,0.01,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10112-$RYM4DM9.jpg,.jpg,0.02,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\MScProject\SSD Files\Kingston A400\Normal Deletion\Recovered Data\10115-$RYM8MS6.xls,.xls,2.62,OK,
