File,Extension,SizeMB,Status,Error
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Kingston A400\TRIM Deletion\Recovered data\1000-$RW040JC.doc,.doc,0.33,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Kingston A400\TRIM Deletion\Recovered data\10000-$RC0TTBE.xls,.xls,0.08,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Kingston A400\TRIM Deletion\Recovered data\10003-$RQ0VZBF.xls,.xls,0.04,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Kingston A400\TRIM Deletion\Recovered data\10006-$RK1E970.xls,.xls,0.02,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Kingston A400\TRIM Deletion\Recovered data\10008-$R63TTHF.xls,.xls,0.22,FAILED,"(-2147352567, 'Exception occurred.', (0, 'Microsoft Excel', 'Office has detected a problem with this file. To help protect your computer this file cannot be opened.', 'xlmain11.chm', 0, -2146827284), None)"
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Kingston A400\TRIM Deletion\Recovered data\10011-$RHI91G0.xls,.xls,0.04,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Kingston A400\TRIM Deletion\Recovered data\10014-$RQYH29Y.xls,.xls,0.03,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Kingston A400\TRIM Deletion\Recovered data\10017-$RH8PHA4.xls,.xls,0.15,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Kingston A400\TRIM Deletion\Recovered data\10020-$RQWSOMS.xls,.xls,0.14,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Kingston A400\TRIM Deletion\Recovered data\10023-$RGVCWBT.xls,.xls,0.03,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Kingston A400\TRIM Deletion\Recovered data\10026-$R1UCHX9.xls,.xls,0.09,FAILED,"(-2147352567, 'Exception occurred.', (0, 'Microsoft Excel', 'Office has detected a problem with this file. To help protect your computer this file cannot be opened.', 'xlmain11.chm', 0, -2146827284), None)"
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Kingston A400\TRIM Deletion\Recovered data\10029-$RRYUUHD.xls,.xls,0.36,OK,
