File,Extension,SizeMB,Status,Error
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\1001-$RSTL5QS.xls,.xls,0.55,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10021-$R5FKDO3.xls,.xls,0.04,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10024-$R5FMONV.doc,.doc,0.04,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10027-$R5FPFW8.jpg,.jpg,0.05,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10030-$R5FRIGM.jpg,.jpg,0.02,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10033-$R5FWIAL.jpg,.jpg,0.05,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10036-$R5FZRX4.jpg,.jpg,0.07,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10039-$R5G02XA.doc,.doc,0.09,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\1004-$RSTQS6G.xls,.xls,0.05,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10041-$R5G4TAO.xls,.xls,0.02,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10044-$R5G5ZDN.xls,.xls,0.03,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10047-$R5G695C.xls,.xls,0.02,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10050-$R5G6I8J.xls,.xls,0.12,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10053-$R5G6KSN.jpg,.jpg,0.19,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10056-$R5G8D1N.xls,.xls,0.06,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10059-$R5GDSYL.jpg,.jpg,0.02,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\1006-$RSTR0BY.xls,.xls,0.03,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10062-$R5GJLU6.xls,.xls,0.09,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10065-$R5GRII6.xls,.xls,0.13,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10068-$R5GVXXT.jpg,.jpg,0.03,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10071-$R5GW0AZ.doc,.doc,0.06,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10074-$R5GZZLR.xls,.xls,0.14,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10077-$R5H18IX.xls,.xls,0.05,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10080-$R5H3U7M.xls,.xls,0.18,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10083-$R5H5470.xls,.xls,0.02,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10086-$R5H5WHC.jpg,.jpg,0.03,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10089-$R5HDWSM.xls,.xls,0.05,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\1009-$RSTTBQF.xls,.xls,12.16,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10092-$R5HM2T8.xls,.xls,0.09,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10095-$R5HMTRF.xls,.xls,0.08,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10098-$R270Q0L.doc,.doc,0.18,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10101-$R275OZ2.xls,.xls,0.07,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10104-$R278A88.doc,.doc,0.06,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10107-$R27CI0T.xls,.xls,9.42,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10110-$R27FR71.jpg,.jpg,0.01,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10113-$R27HT3W.jpg,.jpg,0.03,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10116-$R27IDNO.jpg,.jpg,0.03,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10119-$R27OUO1.xls,.xls,0.11,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\1012-$RSTXFVK.jpg,.jpg,0.06,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10121-$R27OVY4.xls,.xls,0.15,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10123-$R27Z7XE.jpg,.jpg,0.0,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10126-$R280RO7.xls,.xls,0.04,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\PNY CS900\Normal Deletion\Recovered Data\10129-$R2845IP.xls,.xls,0.04,OK,
