File,Extension,SizeMB,Status,Error
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\Secure Erase\Recovered data\59896-106566.xls,.xls,0.02,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\Secure Erase\Recovered data\59898-157099.doc,.doc,0.07,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\Secure Erase\Recovered data\59900-163311.doc,.doc,0.02,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\Secure Erase\Recovered data\59902-140212.xls,.xls,0.06,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\Secure Erase\Recovered data\59904-215287.jpg,.jpg,0.01,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\Secure Erase\Recovered data\59906-209692.jpg,.jpg,0.01,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\Secure Erase\Recovered data\59908-161301.doc,.doc,0.17,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\Secure Erase\Recovered data\59910-135540.xls,.xls,0.08,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\Secure Erase\Recovered data\59912-167886.xls,.xls,0.01,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\Secure Erase\Recovered data\59914-131600.xls,.xls,0.04,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\Secure Erase\Recovered data\59917-122867.xls,.xls,0.03,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\Secure Erase\Recovered data\59919-223584.jpg,.jpg,0.35,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\Secure Erase\Recovered data\59921-224625.jpg,.jpg,0.04,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\Secure Erase\Recovered data\59923-172970.xls,.xls,0.26,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\Secure Erase\Recovered data\59926-128137.xls,.xls,0.41,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\Secure Erase\Recovered data\59928-206701.jpg,.jpg,0.08,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\Secure Erase\Recovered data\59930-129870.xls,.xls,0.02,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\Secure Erase\Recovered data\59932-156267.xls,.xls,0.04,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\Secure Erase\Recovered data\59934-224601.jpg,.jpg,0.08,OK,
