File,Extension,SizeMB,Status,Error
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\TRIM Deletion\Recovered data\34428-227779.jpg,.jpg,0.01,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\TRIM Deletion\Recovered data\34430-210342.jpg,.jpg,0.11,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\TRIM Deletion\Recovered data\34432-222435.jpg,.jpg,0.13,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\TRIM Deletion\Recovered data\34434-213137.jpg,.jpg,0.01,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\TRIM Deletion\Recovered data\34436-040529.xls,.xls,6.07,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\TRIM Deletion\Recovered data\34438-047320.xls,.xls,0.05,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\TRIM Deletion\Recovered data\34440-098548.xls,.xls,0.09,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\TRIM Deletion\Recovered data\34442-049424.xls,.xls,2.05,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\TRIM Deletion\Recovered data\34444-236610.jpg,.jpg,0.02,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\TRIM Deletion\Recovered data\34447-217603.jpg,.jpg,0.04,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\TRIM Deletion\Recovered data\34452-043056.xls,.xls,0.07,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\TRIM Deletion\Recovered data\34454-164198.xls,.xls,0.18,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\TRIM Deletion\Recovered data\34456-047988.xls,.xls,0.04,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\TRIM Deletion\Recovered data\34458-093950.xls,.xls,0.05,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\TRIM Deletion\Recovered data\34460-040203.xls,.xls,0.09,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\TRIM Deletion\Recovered data\34462-060111.xls,.xls,0.08,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\TRIM Deletion\Recovered data\34464-108936.xls,.xls,0.05,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\TRIM Deletion\Recovered data\34466-053856.xls,.xls,0.41,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\TRIM Deletion\Recovered data\34468-226515.jpg,.jpg,0.02,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\TRIM Deletion\Recovered data\34470-230346.jpg,.jpg,0.01,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\TRIM Deletion\Recovered data\34472-211698.jpg,.jpg,0.82,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\TRIM Deletion\Recovered data\34474-107197.xls,.xls,0.01,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\TRIM Deletion\Recovered data\34476-166828.xls,.xls,0.03,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\TRIM Deletion\Recovered data\34478-093414.xls,.xls,0.03,OK,
C:\Users\User\OneDrive\Documents\Uni\Dissertation\SSD Files\Samsung 840EVO\TRIM Deletion\Recovered data\34480-208042.jpg,.jpg,0.02,OK,
